weight	cocoa_percent	cost	customer_happiness
247	0.11	0.25	29
192	0.82	10.44	29
106	0.01	0	6
78	0.04	0.01	4
213	0.39	2.56	30
188	0.05	0.04	19
190	0.38	2.23	28
154	0.45	2.48	24
79	0.38	0.89	13
165	0.36	1.68	24
175	0.84	9.77	28
206	0.79	10.41	30
227	0.26	1.23	30
204	0.96	15.12	27
148	0.17	0.34	17
60	0.8	3.07	22
200	0.86	11.9	28
148	0.63	4.64	26
225	0.19	0.68	28
61	0.02	0	0
174	0.85	10.01	23
93	0.72	3.82	18
184	0.85	10.72	24
243	0.95	17.49	23
234	0.81	12.37	27
92	0.4	1.16	11
239	0.43	3.58	29
101	0.66	3.49	18
142	0.32	1.16	16
151	0.45	2.42	20
157	0.4	2.05	19
219	0.21	0.8	23
109	0.23	0.47	9
80	0.89	5.02	21
173	0.68	6.48	24
118	0.23	0.5	11
162	0.53	3.6	22
162	0.08	0.09	12
222	0.22	0.87	24
194	0.46	3.27	25
61	0.18	0.16	1
157	0.55	3.74	21
101	0.85	5.85	21
55	0.84	3.08	18
213	0.35	2.13	26
244	0.08	0.13	24
239	0.05	0.05	22
119	0.68	4.44	20
162	0.29	1.1	18
89	0.24	0.42	7
131	0.37	1.41	16
156	0.61	4.62	22
108	0.73	4.64	20
95	1	7.57	22
147	0.76	6.72	22
127	0.15	0.23	9
149	0.46	2.54	20
103	0.94	7.33	21
121	0.76	5.65	21
193	0.88	11.85	24
117	0.85	6.79	21
203	0.59	5.62	26
110	0.73	4.73	20
135	0.99	10.56	22
90	0.54	2.1	15
209	0.52	4.53	27
194	0.55	4.78	26
73	0.95	5.22	21
132	0.59	3.72	20
166	0.04	0.02	11
214	0.58	5.8	27
122	0.64	4.05	19
64	0.19	0.18	2
205	0.62	6.3	26
55	0.17	0.13	0
208	0.31	1.61	22
216	0.4	2.7	24
149	0.41	1.96	16
128	0.73	5.53	19
73	1	5.81	20
61	0.29	0.42	3
159	0.19	0.47	13
166	0.24	0.76	15
178	0.95	12.98	21
116	0.02	0	1
74	0.32	0.62	5
133	0.94	9.42	20
208	0.57	5.41	25
137	0.34	1.23	13
107	0.02	0	0
203	0.17	0.46	6
182	0.45	2.98	9
189	0.23	0.83	6
149	0.21	0.53	0
243	0.46	4.17	10
204	0.73	8.77	7
224	0.05	0.04	0
170	0.52	3.67	1
216	0.66	7.46	5
233	0.07	0.09	0
