weight	cocoa_percent	sugar_percent	milk_percent	customer_happiness
185	65	11	24	47
247	44	34	22	55
133	33	21	47	35
145	30	38	32	34
110	22	70	7	40
134	25	38	37	40
196	18	34	48	41
118	45	38	17	38
235	45	12	43	50
107	8	2	90	25
106	10	72	18	22
151	42	20	38	47
144	18	36	46	26
160	39	40	21	47
59	17	47	37	22
221	39	28	33	46
81	57	32	10	48
135	19	36	45	27
85	43	20	37	28
246	35	43	22	52
150	9	49	42	31
124	49	32	20	43
216	11	12	76	49
227	15	26	60	43
105	13	61	26	27
27	61	9	30	30
225	48	2	51	58
50	43	29	28	23
156	53	44	4	40
155	76	24	0	54
67	12	44	44	21
41	26	53	21	34
204	46	31	22	61
211	35	41	23	58
208	14	57	29	47
162	43	41	15	39
15	40	13	47	32
133	23	28	49	28
76	36	28	37	40
18	76	13	11	30
131	61	23	16	39
231	34	14	52	49
66	9	48	43	15
242	41	42	17	47
79	0	54	46	17
51	15	44	41	24
90	26	72	2	24
1	3	33	65	7
67	19	44	37	16
176	50	21	29	41
46	64	24	12	47
81	24	53	24	19
250	32	40	28	44
240	48	8	44	56
175	30	38	32	35
11	11	72	17	11
58	29	64	7	26
234	48	11	41	52
95	11	57	32	32
97	31	54	15	23
32	79	3	18	35
234	41	25	34	51
237	71	20	9	70
116	47	38	15	35
31	12	75	13	13
83	2	33	65	16
192	30	68	2	41
1	24	29	47	10
65	42	16	42	37
22	43	32	25	31
140	44	5	51	51
212	38	55	6	62
67	13	72	15	14
112	24	59	18	26
234	42	41	17	56
233	21	28	51	60
2	28	10	62	12
81	37	41	22	35
222	90	5	5	60
223	39	21	40	54
181	9	40	51	52
34	46	28	26	22
132	19	45	36	29
103	39	23	38	41
45	35	36	29	18
40	13	52	35	22
216	12	73	15	41
107	41	23	36	32
42	47	33	20	31
165	44	30	26	52
33	53	3	45	34
162	5	56	39	36
249	4	14	82	52
144	79	3	18	45
215	3	20	78	41
194	0	12	88	29
95	34	20	46	26
44	29	40	31	19
218	46	25	28	49
169	88	1	12	57
