age,weight,height,breed
9.47E+00,6.20E+00,6.80E+00,1
7.97E+00,8.63E+00,8.92E+00,0
9.51E+00,6.40E+00,5.78E+00,1
8.96E+00,8.82E+00,6.28E+00,2
8.37E+00,3.89E+00,5.62E+00,1
9.46E+00,9.56E+00,5.77E+00,2
1.04E+01,1.10E+01,7.78E+00,0
9.08E+00,7.10E+00,5.79E+00,1
9.53E+00,9.29E+00,5.03E+00,2
8.57E+00,5.09E+00,4.05E+00,1
8.77E+00,6.17E+00,4.89E+00,1
8.63E+00,3.92E+00,4.62E+00,1
7.67E+00,7.54E+00,4.90E+00,2
8.25E+00,7.94E+00,4.75E+00,2
8.54E+00,8.73E+00,9.10E+00,0
9.22E+00,8.47E+00,8.51E+00,0
8.28E+00,8.86E+00,5.12E+00,2
8.52E+00,4.98E+00,4.74E+00,1
9.82E+00,8.66E+00,8.92E+00,0
9.71E+00,5.82E+00,4.57E+00,1
8.34E+00,5.68E+00,5.49E+00,1
8.51E+00,8.01E+00,9.13E+00,2
7.19E+00,7.98E+00,2.78E+00,2
8.53E+00,9.33E+00,5.32E+00,2
9.49E+00,9.29E+00,9.14E+00,0
1.05E+01,1.06E+01,6.68E+00,2
8.90E+00,7.16E+00,1.01E+01,0
9.06E+00,4.01E+00,5.37E+00,1
9.76E+00,6.54E+00,5.01E+00,1
8.42E+00,3.38E+00,4.16E+00,1
8.65E+00,2.78E+00,5.80E+00,1
9.12E+00,5.26E+00,5.87E+00,1
9.97E+00,1.05E+01,6.36E+00,2
9.02E+00,8.54E+00,9.15E+00,0
8.34E+00,6.47E+00,8.31E+00,0
8.98E+00,5.44E+00,4.89E+00,1
8.55E+00,8.07E+00,1.02E+01,0
9.54E+00,1.03E+01,7.62E+00,0
8.38E+00,4.50E+00,3.79E+00,1
8.11E+00,8.52E+00,8.57E+00,0
8.01E+00,8.40E+00,1.07E+01,0
8.14E+00,7.33E+00,9.01E+00,0
7.72E+00,8.81E+00,8.34E+00,0
9.57E+00,8.51E+00,9.32E+00,0
9.52E+00,9.32E+00,5.19E+00,2
7.63E+00,7.79E+00,3.97E+00,2
8.30E+00,8.63E+00,7.75E+00,0
1.05E+01,1.04E+01,6.51E+00,2
1.02E+01,9.13E+00,8.06E+00,0
8.18E+00,4.05E+00,6.22E+00,1
8.27E+00,8.49E+00,5.44E+00,2
8.90E+00,9.29E+00,5.22E+00,2
9.58E+00,9.08E+00,4.58E+00,2
8.97E+00,4.78E+00,4.93E+00,1
1.07E+01,1.06E+01,8.65E+00,0
9.59E+00,5.10E+00,4.93E+00,1
9.55E+00,6.27E+00,5.41E+00,1
8.16E+00,7.70E+00,1.11E+01,0
1.06E+01,1.01E+01,9.82E+00,0
9.31E+00,4.98E+00,5.40E+00,1
8.24E+00,7.84E+00,9.13E+00,0
9.67E+00,9.99E+00,4.78E+00,2
9.54E+00,1.08E+01,8.42E+00,0
9.19E+00,7.52E+00,1.04E+01,0
8.86E+00,8.69E+00,6.01E+00,2
7.96E+00,6.26E+00,5.51E+00,1
1.13E+01,1.06E+01,8.73E+00,0
8.71E+00,6.21E+00,6.66E+00,1
1.19E+01,1.14E+01,6.02E+00,2
8.77E+00,5.61E+00,5.22E+00,1
8.09E+00,8.37E+00,4.10E+00,2
8.10E+00,8.05E+00,8.51E+00,0
8.84E+00,9.21E+00,5.38E+00,2
8.12E+00,3.23E+00,2.21E+00,1
9.14E+00,8.98E+00,4.96E+00,2
1.20E+01,1.18E+01,7.09E+00,2
8.67E+00,8.22E+00,3.54E+00,2
9.04E+00,1.01E+01,9.34E+00,0
9.27E+00,8.58E+00,8.30E+00,0
1.07E+01,9.59E+00,9.66E+00,0
9.10E+00,9.51E+00,9.18E+00,0
8.30E+00,8.36E+00,9.00E+00,0
1.03E+01,1.17E+01,7.35E+00,0
8.27E+00,7.69E+00,3.44E+00,2
8.70E+00,8.60E+00,5.31E+00,2
8.10E+00,4.51E+00,4.19E+00,1
9.17E+00,8.35E+00,9.87E+00,0
8.64E+00,8.85E+00,6.20E+00,2
8.20E+00,8.37E+00,4.14E+00,2
6.90E+00,6.87E+00,2.67E+00,2
7.30E+00,7.36E+00,2.74E+00,2
1.01E+01,6.19E+00,5.54E+00,1
9.67E+00,1.02E+01,6.13E+00,2
8.28E+00,8.56E+00,1.02E+01,0
9.93E+00,9.29E+00,8.54E+00,0
1.04E+01,1.05E+01,6.94E+00,2
8.06E+00,7.52E+00,1.04E+01,0
1.03E+01,5.82E+00,4.62E+00,1
7.68E+00,8.26E+00,1.01E+01,0
9.71E+00,9.50E+00,5.56E+00,2
9.82E+00,4.99E+00,5.14E+00,1
8.98E+00,9.47E+00,4.22E+00,2
7.62E+00,4.42E+00,5.05E+00,1
7.54E+00,8.87E+00,8.99E+00,0
8.65E+00,6.18E+00,4.55E+00,1
7.83E+00,7.86E+00,4.99E+00,2
8.17E+00,5.29E+00,5.17E+00,1
9.13E+00,9.19E+00,1.05E+01,0
8.96E+00,4.09E+00,3.45E+00,1
1.00E+01,1.03E+01,6.87E+00,2
8.78E+00,4.21E+00,3.11E+00,1
7.12E+00,7.93E+00,1.01E+01,0
8.67E+00,9.00E+00,9.38E+00,0
9.40E+00,6.34E+00,5.17E+00,1
8.53E+00,4.10E+00,3.87E+00,1
1.06E+01,1.08E+01,6.48E+00,2
8.76E+00,8.48E+00,4.46E+00,2
9.51E+00,9.40E+00,5.03E+00,2
9.18E+00,4.23E+00,5.77E+00,1
1.03E+01,9.66E+00,6.60E+00,2
8.96E+00,8.75E+00,4.96E+00,2
8.43E+00,8.11E+00,8.75E+00,0
8.37E+00,8.74E+00,5.70E+00,2
9.06E+00,5.17E+00,4.72E+00,1
1.11E+01,1.11E+01,6.91E+00,2
7.32E+00,7.54E+00,9.31E+00,0
8.92E+00,9.39E+00,5.48E+00,2
8.82E+00,4.71E+00,5.26E+00,1
7.77E+00,7.99E+00,3.44E+00,2
8.10E+00,8.37E+00,9.02E+00,0
8.48E+00,8.78E+00,4.96E+00,2
8.29E+00,8.05E+00,1.06E+01,0
9.72E+00,6.69E+00,4.87E+00,1
1.02E+01,6.34E+00,4.95E+00,1
9.60E+00,7.27E+00,6.92E+00,1
8.50E+00,7.83E+00,8.60E+00,0
8.95E+00,8.89E+00,9.44E+00,0
8.45E+00,9.00E+00,8.75E+00,0
1.12E+01,1.18E+01,7.13E+00,0
8.37E+00,2.08E+00,4.73E+00,1
9.30E+00,6.46E+00,5.95E+00,1
8.96E+00,9.07E+00,5.08E+00,2
9.51E+00,9.77E+00,9.19E+00,0
8.84E+00,9.42E+00,6.13E+00,2
1.06E+01,9.96E+00,5.77E+00,2
9.16E+00,8.96E+00,6.41E+00,2
8.17E+00,4.25E+00,4.59E+00,1
7.92E+00,8.90E+00,9.10E+00,0
8.91E+00,3.64E+00,5.13E+00,1
8.98E+00,5.03E+00,4.29E+00,1
9.15E+00,4.39E+00,5.62E+00,1
9.40E+00,9.52E+00,4.84E+00,2
7.99E+00,7.93E+00,3.98E+00,2
9.24E+00,9.99E+00,8.83E+00,0
9.87E+00,1.05E+01,7.99E+00,0
9.30E+00,3.72E+00,4.02E+00,1
9.39E+00,5.08E+00,4.51E+00,1
9.02E+00,8.60E+00,8.35E+00,0
9.36E+00,6.89E+00,6.13E+00,1
9.23E+00,1.03E+01,1.01E+01,0
8.96E+00,4.15E+00,4.88E+00,1
8.64E+00,8.22E+00,9.16E+00,0
1.08E+01,1.06E+01,6.74E+00,2
1.05E+01,1.02E+01,9.06E+00,0
8.10E+00,9.20E+00,5.62E+00,2
8.77E+00,8.67E+00,4.10E+00,2
8.63E+00,8.09E+00,4.86E+00,2
9.20E+00,9.53E+00,6.55E+00,2
7.68E+00,7.59E+00,9.77E+00,0
1.09E+01,1.06E+01,6.38E+00,2
8.38E+00,8.69E+00,5.06E+00,2
8.30E+00,8.34E+00,9.32E+00,0
8.99E+00,4.19E+00,5.63E+00,1
8.74E+00,8.71E+00,5.55E+00,2
8.50E+00,3.55E+00,5.81E+00,1
9.87E+00,9.56E+00,7.98E+00,0
6.82E+00,6.46E+00,2.48E+00,2
8.70E+00,2.93E+00,4.36E+00,1
1.01E+01,6.75E+00,5.12E+00,1
1.18E+01,1.21E+01,8.03E+00,2
9.40E+00,5.21E+00,6.14E+00,1
7.70E+00,8.80E+00,9.61E+00,0
8.92E+00,5.24E+00,4.35E+00,1
9.59E+00,4.62E+00,6.07E+00,1
9.60E+00,5.42E+00,7.63E+00,1
9.53E+00,9.59E+00,5.81E+00,2
9.32E+00,9.32E+00,6.27E+00,2
1.02E+01,1.01E+01,8.69E+00,1
9.00E+00,9.68E+00,6.44E+00,2
1.21E+01,1.11E+01,6.95E+00,0
1.04E+01,4.64E+00,6.01E+00,1
7.50E+00,7.72E+00,9.99E+00,0
9.49E+00,4.28E+00,6.47E+00,1
8.95E+00,5.77E+00,6.43E+00,1
8.90E+00,4.67E+00,2.88E+00,1
1.02E+01,9.90E+00,5.02E+00,2
7.77E+00,3.96E+00,4.17E+00,1
9.38E+00,6.98E+00,5.89E+00,1
9.00E+00,9.06E+00,9.59E+00,0
8.26E+00,8.85E+00,1.02E+01,0
