leaf_width,leaf_length,trunk_girth,trunk_height,tree_type
5.13E+00,6.18E+00,8.26E+00,8.74E+00,0
7.49E+00,4.02E+00,8.07E+00,6.78E+00,0
9.22E+00,4.16E+00,5.46E+00,8.45E+00,1
6.98E+00,1.11E+01,6.96E+00,4.06E+00,2
3.46E+00,5.19E+00,8.72E+00,1.04E+01,0
4.55E+00,5.15E+00,9.01E+00,9.64E+00,0
4.95E+00,1.04E+01,6.33E+00,4.49E+00,2
7.64E+00,2.58E+00,9.73E+00,7.75E+00,0
8.69E+00,4.35E+00,4.37E+00,8.82E+00,1
7.21E+00,3.62E+00,8.71E+00,7.43E+00,0
6.48E+00,1.15E+01,8.20E+00,3.85E+00,2
8.52E+00,3.67E+00,5.99E+00,9.70E+00,1
6.35E+00,8.18E+00,4.50E+00,6.14E+00,2
6.61E+00,5.29E+00,6.80E+00,6.07E+00,0
5.70E+00,5.08E+00,8.30E+00,8.10E+00,0
4.73E+00,7.88E+00,4.03E+00,5.10E+00,2
8.15E+00,5.08E+00,5.43E+00,1.05E+01,1
5.42E+00,8.67E+00,4.57E+00,4.57E+00,2
3.31E+00,5.46E+00,9.85E+00,1.04E+01,0
6.50E+00,4.39E+00,9.15E+00,8.29E+00,0
9.31E+00,5.18E+00,5.66E+00,8.93E+00,1
2.79E+00,9.93E+00,6.56E+00,3.12E+00,2
5.56E+00,9.99E+00,6.06E+00,4.56E+00,2
5.87E+00,6.92E+00,2.89E+00,6.25E+00,2
3.99E+00,6.54E+00,2.91E+00,6.36E+00,2
5.18E+00,9.02E+00,4.42E+00,5.62E+00,2
6.07E+00,3.81E+00,9.77E+00,9.44E+00,0
8.78E+00,4.35E+00,4.44E+00,8.85E+00,1
4.12E+00,7.14E+00,7.83E+00,8.16E+00,0
5.10E+00,5.86E+00,8.55E+00,8.37E+00,0
3.34E+00,9.27E+00,5.25E+00,3.98E+00,2
4.88E+00,9.19E+00,5.89E+00,4.93E+00,2
4.70E+00,6.18E+00,9.26E+00,8.09E+00,0
5.32E+00,9.59E+00,5.23E+00,4.85E+00,2
9.01E+00,7.84E+00,3.10E+00,9.07E+00,1
1.01E+01,5.94E+00,6.45E+00,8.39E+00,1
5.71E+00,6.16E+00,2.24E+00,8.06E+00,2
3.01E+00,5.78E+00,9.61E+00,1.06E+01,0
5.56E+00,4.63E+00,9.24E+00,9.44E+00,0
4.39E+00,7.97E+00,4.49E+00,5.15E+00,2
3.67E+00,5.17E+00,9.34E+00,9.81E+00,0
3.68E+00,8.62E+00,5.35E+00,4.48E+00,2
3.64E+00,6.14E+00,8.99E+00,9.09E+00,0
8.92E+00,5.78E+00,5.08E+00,9.39E+00,1
5.84E+00,4.81E+00,8.86E+00,8.05E+00,0
8.11E+00,9.31E+00,4.70E+00,5.62E+00,2
5.41E+00,5.81E+00,7.48E+00,7.84E+00,0
1.00E+01,8.15E+00,4.89E+00,8.69E+00,1
5.05E+00,8.51E+00,4.89E+00,5.52E+00,2
2.06E+00,6.52E+00,9.68E+00,1.04E+01,0
1.10E+01,4.56E+00,7.22E+00,6.97E+00,1
5.27E+00,4.25E+00,8.19E+00,9.16E+00,0
4.31E+00,5.11E+00,1.09E+01,1.06E+01,0
7.48E+00,5.17E+00,7.65E+00,6.13E+00,0
5.75E+00,4.78E+00,8.19E+00,8.02E+00,0
3.73E+00,9.85E+00,5.46E+00,4.45E+00,2
